customer_id,age,gender,region
254,40,Nonbinary,West
255,60,Male,North
256,50,Nonbinary,East
257,18,Male,West
258,24,Male,East
259,58,Male,South
260,45,Female,East
261,57,Nonbinary,West
262,47,Male,East
263,38,Female,North
264,35,Male,South
265,66,Male,West
266,39,Female,West
267,72,Male,South
268,49,Female,East
269,69,Male,East
270,35,Nonbinary,East
271,53,Female,South
272,23,Female,West
273,49,Nonbinary,South
274,62,Male,West
275,46,Female,North
276,36,Female,West
277,62,Female,East
278,60,Nonbinary,East
279,48,Nonbinary,East
280,45,Nonbinary,East
281,40,Nonbinary,West
282,35,Male,East
283,32,Female,South
284,38,Female,South
285,30,Female,West
286,35,Nonbinary,East
287,24,Female,East
288,32,Male,South
289,37,Female,South
290,35,Female,North
291,53,Male,South
292,58,Male,North
293,73,Female,East
294,48,Male,West
295,39,Female,North
296,34,Male,North
297,70,Female,West
298,49,Female,North
299,27,Female,East
300,23,Female,North
301,53,Male,South
302,67,Nonbinary,West
303,46,Male,East
304,73,Nonbinary,West
305,37,Nonbinary,North
306,57,Nonbinary,North
307,66,Female,South
308,34,Nonbinary,North
309,28,Female,South
310,53,Female,South
311,18,Male,West
312,62,Nonbinary,West
313,36,Female,South
314,36,Nonbinary,East
315,62,Male,North
316,61,Female,East
317,68,Nonbinary,South
318,45,Female,South
319,59,Female,East
320,70,Female,North
321,21,Female,East
322,56,Nonbinary,East
323,46,Female,West
324,62,Male,West
325,35,Nonbinary,West
326,46,Female,North
327,74,Male,East
328,56,Male,North
329,23,Female,North
330,66,Nonbinary,East
331,54,Female,South
332,48,Nonbinary,West
333,35,Female,West
334,58,Male,North
335,48,Male,West
336,39,Male,North
337,72,Female,East
338,44,Nonbinary,West
339,36,Nonbinary,West
340,70,Nonbinary,North
341,47,Female,East
342,34,Male,North
343,67,Male,North
344,60,Nonbinary,West
345,44,Female,South
346,51,Male,West
347,58,Male,North
348,31,Male,South
349,36,Male,West
350,25,Female,South
351,63,Female,East
352,53,Female,West
353,23,Female,North
354,47,Female,South
355,49,Nonbinary,East
356,50,Nonbinary,East
357,44,Male,West
358,33,Male,South
359,42,Female,South
360,73,Female,East
361,67,Male,East
362,68,Nonbinary,East
363,70,Female,East
364,64,Male,West
365,73,Female,West
366,52,Male,East
367,39,Nonbinary,West
368,47,Male,South
369,62,Female,West
370,32,Male,North
371,38,Nonbinary,West
372,63,Male,West
373,60,Nonbinary,South
374,49,Female,South
375,50,Nonbinary,East
376,73,Female,West
377,24,Nonbinary,West
378,18,Nonbinary,South
379,44,Nonbinary,South
380,22,Male,East
381,39,Nonbinary,West
382,59,Female,East
383,72,Nonbinary,West
384,38,Nonbinary,West
385,73,Nonbinary,North
386,57,Female,South
387,58,Nonbinary,East
388,32,Nonbinary,North
389,45,Female,North
390,46,Female,East
391,75,Female,North
392,38,Female,East
393,40,Male,West
394,27,Female,West
395,54,Nonbinary,South
396,28,Female,North
397,57,Male,South
398,49,Nonbinary,South
399,32,Male,East
400,47,Male,North
401,75,Male,East
402,61,Nonbinary,South
403,22,Male,East
404,55,Male,West
405,62,Male,West
406,72,Male,South
407,42,Male,North
408,33,Male,East
409,54,Male,East
410,19,Nonbinary,West
411,35,Female,North
412,56,Nonbinary,West
413,71,Male,South
414,56,Male,South
415,58,Female,East
416,61,Nonbinary,South
417,58,Female,North
418,37,Male,North
419,55,Male,South
420,23,Male,East
421,65,Male,South
422,30,Female,East
423,51,Nonbinary,East
424,71,Female,East
425,70,Male,East
426,65,Male,North
427,47,Female,South
428,66,Female,West
429,72,Nonbinary,East
430,23,Male,North
431,34,Nonbinary,North
432,47,Male,East
433,55,Male,East
434,24,Nonbinary,South
435,48,Female,East
436,57,Female,North
437,58,Male,East
438,59,Male,North
439,26,Female,North
440,37,Male,North
441,24,Female,South
442,42,Male,East
443,60,Nonbinary,West
444,55,Nonbinary,South
445,74,Male,North
446,71,Male,West
447,35,Female,East
448,31,Male,West
449,33,Male,North
450,61,Male,East
451,21,Male,East
452,30,Female,West
453,23,Nonbinary,South
454,59,Nonbinary,North
455,21,Male,South
456,26,Nonbinary,South
457,22,Nonbinary,South
458,55,Female,South
459,39,Female,North
460,35,Female,South
461,52,Male,South
462,25,Nonbinary,North
463,26,Female,East
464,68,Female,East
465,19,Female,East
466,21,Female,West
467,51,Female,North
468,48,Male,East
469,50,Nonbinary,North
470,46,Nonbinary,South
471,57,Female,East
472,47,Nonbinary,North
473,21,Male,West
474,45,Nonbinary,North
475,49,Nonbinary,West
476,22,Female,East
477,56,Female,North
478,26,Male,East
479,42,Nonbinary,East
480,47,Nonbinary,West
481,24,Nonbinary,North
482,72,Nonbinary,South
483,45,Male,South
484,44,Male,West
485,43,Male,North
486,38,Male,East
487,60,Male,East
488,27,Nonbinary,West
489,22,Female,North
490,23,Male,North
491,65,Nonbinary,East
492,69,Female,North
493,55,Nonbinary,East
494,60,Female,West
495,40,Nonbinary,West
496,73,Nonbinary,North
497,36,Nonbinary,East
498,40,Female,South
499,27,Nonbinary,West
500,32,Female,East
501,72,Nonbinary,East
502,25,Male,South
503,69,Male,North
504,56,Nonbinary,East
505,19,Female,East
506,62,Male,East
507,40,Female,South
508,73,Female,West
509,22,Female,North
510,23,Nonbinary,South
511,42,Male,West
512,39,Female,East
513,37,Nonbinary,East
514,67,Nonbinary,North
515,74,Female,South
516,28,Nonbinary,North
517,61,Female,East
518,46,Nonbinary,West
519,49,Nonbinary,West
520,44,Male,South
521,66,Nonbinary,North
522,40,Male,North
523,36,Nonbinary,West
524,51,Nonbinary,East
525,20,Female,West
526,56,Female,North
527,31,Male,South
528,67,Female,East
529,36,Male,North
530,18,Male,West
531,29,Female,West
532,52,Nonbinary,South
533,50,Nonbinary,East
534,22,Male,North
535,45,Female,West
536,22,Male,West
537,54,Male,West
538,36,Female,West
539,19,Male,South
540,69,Nonbinary,West
541,71,Nonbinary,East
542,23,Male,North
543,33,Male,West
544,51,Female,West
545,73,Male,East
546,32,Male,South
547,22,Nonbinary,North
548,51,Nonbinary,South
549,75,Male,East
550,64,Nonbinary,South
551,33,Female,South
552,34,Female,South
553,56,Female,North
554,29,Nonbinary,West
555,47,Nonbinary,West
556,61,Nonbinary,East
557,73,Nonbinary,East
558,27,Male,North
559,48,Male,East
560,68,Male,North
561,40,Nonbinary,North
562,37,Male,West
563,20,Female,East
564,71,Male,North
565,59,Female,West
566,47,Nonbinary,North
567,46,Nonbinary,South
568,38,Nonbinary,West
569,50,Female,North
570,46,Female,East
571,63,Female,South
572,20,Female,West
573,46,Nonbinary,South
574,41,Male,East
575,42,Male,East
576,61,Nonbinary,North
577,68,Nonbinary,East
578,22,Male,North
579,53,Nonbinary,West
580,36,Male,South
581,39,Female,South
582,40,Male,West
583,26,Nonbinary,North
584,37,Nonbinary,West
585,59,Male,South
586,60,Nonbinary,North
587,59,Nonbinary,West
588,50,Male,North
589,41,Male,South
590,31,Male,West
591,30,Female,South
592,27,Female,East
593,72,Female,North
594,60,Male,South
595,56,Male,South
596,28,Female,South
597,64,Male,North
598,44,Male,South
599,46,Nonbinary,East
600,66,Nonbinary,West
