customer_id,gender,region,age_group,total_purchases,avg_purchase_value,total_interactions,avg_interactions_per_day,total_page_views,avg_time_spent,purchase_per_interaction,time_per_page_view
80,Female,East,65+,422.91,52.1,11,2.2,53,3.57,38.4464,0.067358
81,Female,East,18-34,273.63,286.61,48,24.0,25,6.53,5.7006,0.2612
82,Male,South,18-34,1084.29,103.45,11,3.67,46,4.72,98.5718,0.102609
83,Male,East,65+,1415.29,271.86,8,4.0,71,7.77,176.9112,0.109437
84,Nonbinary,South,65+,787.5,161.24,12,4.0,25,3.87,65.625,0.1548
85,Nonbinary,West,18-34,752.05,134.1,19,19.0,78,5.99,39.5816,0.076795
86,Nonbinary,North,35-49,1156.32,202.43,13,4.33,155,4.66,88.9477,0.030065
87,Female,South,35-49,591.29,295.89,20,4.0,118,9.65,29.5645,0.08178
88,Nonbinary,West,18-34,51.45,150.1,44,14.67,177,9.75,1.1693,0.055085
89,Female,North,65+,446.29,90.25,48,12.0,99,8.58,9.2977,0.086667
90,Female,East,18-34,284.05,169.55,9,3.0,32,4.56,31.5611,0.1425
91,Female,South,50-64,1323.5,79.04,37,5.29,91,8.96,35.7703,0.098462
92,Male,East,65+,445.87,205.44,25,8.33,63,5.14,17.8348,0.081587
93,Nonbinary,East,18-34,1375.33,57.44,5,1.0,131,1.04,275.066,0.007939
94,Female,South,65+,855.9,215.02,36,5.14,110,5.84,23.775,0.053091
95,Nonbinary,North,18-34,1344.23,248.5,33,5.5,41,4.18,40.7342,0.101951
96,Male,East,65+,306.92,235.03,49,49.0,41,5.16,6.2637,0.125854
97,Female,West,18-34,371.21,25.54,22,3.67,191,4.22,16.8732,0.022094
98,Female,East,35-49,389.67,158.27,28,28.0,81,5.44,13.9168,0.06716
99,Nonbinary,South,18-34,334.33,249.91,30,30.0,81,6.12,11.1443,0.075556
100,Male,South,35-49,1006.77,178.4,48,9.6,154,2.58,20.9744,0.016753
